Date	Price	Open	High	Low	Vol.	Change %
31-Aug-18	"38,645.07"	"38,704.84"	"38,838.45"	"38,562.21"	18.56K	-0.12%
03-Sep-18	"38,312.52"	"38,915.91"	"38,934.35"	"38,270.01"	12.72K	-0.86%
04-Sep-18	"38,157.92"	"38,460.96"	"38,518.56"	"38,098.60"	12.89K	-0.40%
05-Sep-18	"38,018.31"	"38,192.95"	"38,250.61"	"37,774.42"	15.30K	-0.37%
06-Sep-18	"38,242.81"	"38,161.85"	"38,320.96"	"37,912.50"	9.59K	0.59%
07-Sep-18	"38,389.82"	"38,314.55"	"38,421.56"	"38,067.22"	19.32K	0.38%
10-Sep-18	"37,922.17"	"38,348.39"	"38,354.52"	"37,882.83"	21.14K	-1.22%
11-Sep-18	"37,413.13"	"38,017.49"	"38,043.27"	"37,361.20"	12.28K	-1.34%
12-Sep-18	"37,717.96"	"37,546.42"	"37,752.58"	"37,342.00"	13.97K	0.81%
14-Sep-18	"38,090.64"	"37,939.29"	"38,125.62"	"37,859.52"	12.59K	0.99%
17-Sep-18	"37,585.51"	"38,027.81"	"38,027.81"	"37,548.93"	9.09K	-1.33%
18-Sep-18	"37,290.67"	"37,660.19"	"37,745.44"	"37,242.85"	11.24K	-0.78%
19-Sep-18	"37,121.22"	"37,432.93"	"37,530.63"	"37,062.69"	13.38K	-0.45%
21-Sep-18	"36,841.60"	"37,278.89"	"37,489.24"	"35,993.64"	42.41K	-0.75%
24-Sep-18	"36,305.02"	"36,924.72"	"36,945.50"	"36,216.95"	24.05K	-1.46%
25-Sep-18	"36,652.06"	"36,350.25"	"36,705.79"	"36,064.10"	21.15K	0.96%
26-Sep-18	"36,542.27"	"36,936.64"	"36,938.74"	"36,357.93"	22.53K	-0.30%
27-Sep-18	"36,324.17"	"36,691.93"	"36,711.62"	"36,238.23"	18.42K	-0.60%
28-Sep-18	"36,227.14"	"36,452.74"	"36,551.86"	"35,985.63"	23.52K	-0.27%
01-Oct-18	"36,526.14"	"36,274.25"	"36,616.64"	"35,960.65"	22.03K	0.83%
03-Oct-18	"35,975.63"	"36,602.85"	"36,602.85"	"35,911.82"	25.86K	-1.51%
04-Oct-18	"35,169.16"	"35,820.53"	"35,820.53"	"35,022.12"	22.04K	-2.24%
05-Oct-18	"34,376.99"	"35,097.99"	"35,118.54"	"34,202.22"	22.75K	-2.25%
